dish,appliance,fuel,food_weight_g,n_energy_tests,fuel_mass_g,energy_kwh,time_min,ease_of_use,taste,notes
Beans,EPC,electricity,1112.0,2,,0.3165,61.5,5.0,5.0,
Beans,Ethanol stove,ethanol,907.5,2,595.0,4.4625,180.5,1.83,4.67,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; energy tests diverge >15%; interpret with caution
Beans,Hot plate,electricity,1070.0,2,,3.549,237.5,2.67,4.17,
Beans,Improved charcoal stove (ICS),charcoal,986.5,2,457.5,3.9396,185.5,1.33,4.33,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (15.74) differed >10% from recomputed (3.9396)
Beans,Induction cooker,electricity,1026.5,2,,0.8175,176.3,5.0,4.33,time averaged over 3 tests vs 2 energy tests (missing/invalid timestamps)
Beans,Infrared cooker,electricity,1098.0,2,,2.7945,157.5,3.0,3.83,
Beans,Kerosene stove,kerosene,900.0,2,260.0,3.1128,165.5,1.33,3.83,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (3.532) differed >10% from recomputed (3.1128)
Beans,LPG stove,lpg,570.0,2,169.0,2.1641,177.5,2.5,4.5,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (2.753) differed >10% from recomputed (2.1641)
Beans,Rice cooker,electricity,,2,,2.903,167.0,3.33,4.17,energy tests diverge >15%; interpret with caution
Beef stew,EPC,electricity,941.5,2,,0.4465,52.0,5.0,5.0,
Beef stew,Improved charcoal stove (ICS),charcoal,355.0,2,242.5,2.0882,93.0,2.0,4.29,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (13.28) differed >10% from recomputed (2.0882); energy tests diverge >15%; interpret with caution
Beef stew,LPG stove,lpg,1027.0,2,137.5,1.7608,129.5,3.71,4.86,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used
Chapati,Ethanol stove,ethanol,,2,30.0,0.225,9.0,4.42,5.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used
Chapati,Hot plate,electricity,104.5,2,,0.052,4.5,3.14,3.71,stored kWh (0.0805) differed >10% from recomputed (0.052)
Chapati,Improved charcoal stove (ICS),charcoal,27.0,2,27.0,0.2325,2.0,2.57,3.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; energy tests diverge >15%; interpret with caution
Chapati,Induction cooker,electricity,85.0,2,,0.025,2.5,4.14,4.83,stored kWh (0.1235) differed >10% from recomputed (0.025); energy tests diverge >15%; interpret with caution
Chapati,Infrared cooker,electricity,105.0,2,,0.0385,3.5,4.14,4.29,
Chapati,Kerosene stove,kerosene,,2,22.5,0.2694,4.4,3.14,3.14,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; energy tests diverge >15%; interpret with caution
Chapati,LPG stove,lpg,,2,161.0,2.0617,3.5,4.42,4.71,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (0.2228) differed >10% from recomputed (2.0617); 161 g LPG recorded vs 20-30 g on other fuels; likely transcription error in raw data (appears in eCAP report too) -- REVIEW
Chips,Air fryer,electricity,102.5,2,,0.2675,13.5,3.0,1.14,stored kWh (0.233) differed >10% from recomputed (0.2675)
Chips,Ethanol stove,ethanol,275.0,2,250.0,1.875,10.5,3.0,3.29,test 1 excluded: 1015 g outlier vs 280/220 g in tests 2-3; excluded per study's own divergence protocol; kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (3.802) differed >10% from recomputed (1.875); energy tests diverge >15%; interpret with caution
Chips,Hot plate,electricity,85.5,2,,0.2155,7.5,3.0,3.57,
Chips,Improved charcoal stove (ICS),charcoal,98.0,2,378.5,3.2593,5.8,1.17,2.71,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used
Chips,Induction cooker,electricity,120.0,2,,0.129,6.5,3.83,2.57,
Chips,Infrared cooker,electricity,99.5,2,,0.162,9.5,3.33,2.86,
Chips,Kerosene stove,kerosene,25.0,2,27.5,0.3292,16.0,2.33,3.29,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; energy tests diverge >15%; interpret with caution
Chips,LPG stove,lpg,118.0,2,87.5,1.1205,11.0,4.67,5.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (2.273) differed >10% from recomputed (1.1205)
Rice,EPC,electricity,734.0,2,,0.1215,16.5,5.0,5.0,
Rice,Ethanol stove,ethanol,569.0,2,57.0,0.4275,19.5,1.5,4.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (6.117) differed >10% from recomputed (0.4275)
Rice,Hot plate,electricity,507.5,2,,0.195,15.5,2.33,4.0,
Rice,Improved charcoal stove (ICS),charcoal,779.0,2,70.0,0.6028,22.5,2.17,4.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; energy tests diverge >15%; interpret with caution
Rice,Induction cooker,electricity,528.0,3,,0.1997,26.7,3.5,4.0,
Rice,Infrared cooker,electricity,364.0,2,,0.271,21.3,2.67,4.0,
Rice,Kerosene stove,kerosene,530.0,3,35.0,0.419,22.7,1.0,4.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used
Rice,LPG stove,lpg,639.0,2,22.5,0.2881,20.0,3.17,4.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; energy tests diverge >15%; interpret with caution
Rice,Rice cooker,electricity,468.0,2,,0.274,22.0,5.0,5.0,
Spinach,EPC,electricity,419.5,2,,0.1775,14.0,4.71,4.43,
Spinach,Ethanol stove,ethanol,402.0,2,40.0,0.3,10.0,3.14,4.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used
Spinach,Hot plate,electricity,346.0,2,,0.243,13.5,3.29,3.43,
Spinach,Improved charcoal stove (ICS),charcoal,426.5,2,62.5,0.5382,17.5,2.86,4.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; stored kWh (0.8823) differed >10% from recomputed (0.5382)
Spinach,Induction cooker,electricity,334.0,2,,0.218,11.0,4.86,4.57,
Spinach,Infrared cooker,electricity,350.0,2,,0.212,13.0,4.71,4.0,energy tests diverge >15%; interpret with caution
Spinach,Kerosene stove,kerosene,432.5,2,25.0,0.2993,12.0,1.57,4.0,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used
Spinach,LPG stove,lpg,351.5,2,17.5,0.2241,10.0,5.0,4.57,kWh recomputed from fuel mass x calorific value; stored 'KWh Equivalent' column not used; energy tests diverge >15%; interpret with caution
Spinach,Rice cooker,electricity,394.0,2,,0.178,10.5,3.57,4.43,
Ugali,EPC,electricity,,2,,0.1765,12.5,3.57,4.43,
